NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,Locations,Study Documents
NCT04426591,Red Blood Cell Survival in Sickle Cell Disease,https://clinicaltrials.gov/study/NCT04426591,COMPLETED,"This is a single-arm, mechanistic clinical trial to measure predictors of senescence and the in vivo survival of transfused red blood cells (RBCs) in individuals with sickle cell disease (SCD) receiving chronic transfusion therapy (CTT). Chronic transfusion in patients with SCD is a common treatment. The efficacy of RBC transfusion therapy to treat or prevent complications of SCD may be hampered by variable survival of the transfused donor RBC. The overall aim is to see how long RBC survive in SCD patients who are chronically transfused. When a study participant has a regular blood transfusion the researchers will label a small portion of the RBCs that are transfused with biotin. The participant will return at Day 1, weekly for 3 months and monthly for 3 months to measure how long those RBCs survive. An optional sub-study using INTERCEPT RBCs will mirror the main study but will use INTERCEPT RBCs that have biotinylated for 1 RBC unit.",NO,Sickle Cell Disease,DRUG: Biotin Labeled Red Blood Cells|DEVICE: INTERCEPT Blood System,"Change in Number of Biotin Labeled RBCs, Survival of the transfused biotin labeled RBCs will be assessed as the count of biotinylated RBCs per sample., Day 1, Weeks 1-12|Half-life of Biotinylated RBCs, Survival of transfused biotin labeled RBCs will be assessed as the half-life of biotinylated RBCs., Up to Day 70|Mean Potential Lifespan (MPL) of Biotinylated RBCs, The long-term lifespan of transfused biotin labeled RBCs is assessed as the linearly extrapolated as mean potential lifespan (MPL) of biotinylated RBCs., Up to Day 70",,,Marianne Yee,"National Heart, Lung, and Blood Institute (NHLBI)|Cerus Corporation",ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,22,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2021-10-29,2025-04-30,2025-04-30,"Hughes Spalding Children's Hospital, Atlanta, Georgia, 30303, United States|Childrens Healthcare of Atlanta, Atlanta, Georgia, 30322, United States|Grady Health System, Atlanta, Georgia, 30322, United States","Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/91/NCT04426591/ICF_000.pdf"
NCT06662812,Characteristics and Treatment Patterns of Patients With Sickle Cell Disease in Globin Research Network for Data and Discovery Registry,https://clinicaltrials.gov/study/NCT06662812,COMPLETED,This was a retrospective observational cohort study. This study was a secondary analysis of individuals with sickle cell disease (SCD) enrolled in the GRNDaD registry.,NO,Sickle Cell Disease,,"Number of Patients in the Globin Research Network for Data and Discovery (GRNDaD) Registry who Received a Disease Modifying Therapy (DMT), DMTs included: hydroxyurea, voxelotor, crizanlizumab, l-glutamine, and chronic red cell transfusion., Up to 2 years","Number of Patients in the Globin Research Network for Data and Discovery (GRNDaD) Registry Using Hydroxyurea Categorized by Gender, Up to 2 years|Number of Patients in the GRNDaD Registry Using Hydroxyurea Categorized by Genotype, Up to 2 years|Number of Patients in the GRNDaD Registry Using Hydroxyurea Categorized by Age, Up to 2 years|Number of Patients in the GRNDaD Registry Using Voxelotor Categorized by Gender, Up to 2 years|Number of Patients in the GRNDaD Registry Using Voxelotor Categorized by Genotype, Up to 2 years|Number of Patients in the GRNDaD Registry Using Voxelotor Categorized by Age, Up to 2 years|Number of Patients in the GRNDaD Registry Using Crizanlizumab Categorized by Gender, Up to 2 years|Number of Patients in the GRNDaD Registry Using Crizanlizumab Categorized by Genotype, Up to 2 years|Number of Patients in the GRNDaD Registry Using Crizanlizumab Categorized by Age, Up to 2 years|Number of Patients in the GRNDaD Registry Using L-glutamine Categorized by Gender, Up to 2 years|Number of Patients in the GRNDaD Registry Using L-glutamine Categorized by Genotype, Up to 2 years|Number of Patients in the GRNDaD Registry Using L-glutamine Categorized by Age, Up to 2 years|Number of Patients in the GRNDaD Registry Using Chronic Transfusion Categorized by Gender, Up to 2 years|Number of Patients in the GRNDaD Registry Using Chronic Transfusion Categorized by Genotype, Up to 2 years|Number of Patients in the GRNDaD Registry Using Chronic Transfusion Categorized by Age, Up to 2 years|Number of Hospital Admissions Categorized by Age, Up to 2 years|Mean Number of Hospital Admissions, Up to 2 years|Number of Emergency Department Visits Categorized by Age, Up to 2 years|Mean Number of Emergency Department Visits, Up to 2 years",,Novartis,,ALL,"CHILD, ADULT, OLDER_ADULT",,1665,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2021-10-06,2023-12-01,2023-12-01,"Novartis Pharmaceuticals, East Hanover, New Jersey, 07936, United States",
NCT06975865,The Efficacy and Safety of Rilzabrutinib in Patients Aged 10 to 65 Years With Sickle-cell Disease,https://clinicaltrials.gov/study/NCT06975865,RECRUITING,"This is a multicenter, randomized, double-blind, placebo-controlled, parallel-group, group-sequential study (Part A), followed by an open-label LTE period (Part B) to investigate the efficacy, and safety of rilzabrutinib in participants with sickle-cell disease (SCD).

Study details include:

* Study duration: a 52-week double-blind period (Part A), followed by an open-label LTE period (Part B). Double-blind period has two parts, 50% (adult only) until the interim analysis (a proof-concept part analogous to a phase 2b study), and 50% (adult and children) after the interim analysis. Only the participants who complete double-blind treatment period (Part A) are eligible to continue to the LTE period. The duration of the LTE period (Part B) will be from the first-participant-in (FPI)-LTE (Part B) until the last participant who enters the LTE has completed 52 weeks.
* Treatment duration: 52-week double-blind period (Part A); LTE period (Part B) from the (FPI until the last participant who enters the LTE has completed 52 weeks.
* Visit frequency: Week visits based on the Schedule of Assessments.",NO,Sickle Cell Disease,DRUG: Rilzabrutinib|DRUG: Placebo,"Annualized rate of clinical VOC, Calculated from total number of clinical VOC incidents and total number of days during the observation period, At Week 52","Time to first clinical VOC incidence, Until Week 52|Annualized rate of visits due to SCD-related complications as assessed by the Investigator, At Week 52|Annualized rate of home-managed VOCs as reported in the Sickle Cell Pain Crisis (SCPC) eDiary, At Week 52|Change in fatigue as measured by the PROMIS SF v1.0 Fatigue 13a total score (adults), From baseline to Week 52|Change in Hb levels, From baseline to Week 52|Change in fatigue as measured by the PedsQL Multidimensional Fatigue Scale total score (pediatric participants), From baseline to Week 52|Incidence of treatment emergent adverse events (TEAEs), including serious adverse events (SAEs), adverse events of special interest (AESIs) and adverse events leading to discontinuation, Until Week 52|Incidence of potentially clinically significant laboratory, vital signs, and ECG abnormalities, Until Week 52|Absolute number of simple and exchange blood transfusion, Until Week 52|Number of days requiring acetaminophen, NSAID and/or short-acting opioid usage, Until Week 52",,Sanofi,,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,192,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2025-07-07,2027-07-23,2028-12-29,"Bioresearch Partners- Site Number : 8400005, Hialeah, Florida, 33013, United States|Randomize Now- Site Number : 8400002, Riverdale, Georgia, 30295, United States|Investigational Site Number : 8260002, London, NW10 7NS, United Kingdom",
NCT02824471,Sickle Cell Disease Biofluid Chip Technology (SCD BioChip),https://clinicaltrials.gov/study/NCT02824471,RECRUITING,"'Sickle-shaped' anemia was first clinically described in the US in 1910, and the mutated heritable sickle hemoglobin molecule was identified in 1949. The pathophysiology of SCD is a consequence of abnormal polymerization of sickle hemoglobin (HbS) and its effects on red cell membrane properties, shape, and density, and subsequent critical changes in inflammatory cell and endothelial cell function. Our goal is to understand the impact of CMA abnormalities in SCD, by interrogating a number of recognized interactions in a range of clinical phenotypes.

To date, correlative studies in SCD, by us and others, have range between clinical reports, based on tests, interventions, and chart review of individuals or groups of individuals and, at the other extreme, identification of functional gene polymorphisms based on population studies. The investigators wish to augment these studies through a systematic examination of cellular membrane properties and activation status. Of hematologic disorders, SCD may be unusually susceptible to such an examination.",NO,Sickle Cell Disease,OTHER: SCD Group,"Develop an SCD Biochip with which to examine key cellular properties and interactions, including RBC and WBC cellular, adhesive, and inflammatory properties, and circulating endothelial and hematopoietic precursor cell characteristics., Red and white cell adhesion to biomolecules (e.g. laminin, fibronectin, and selectins) will be measured on a microfluidic device, the SCD Biochip. Adhesion will be measured under normal oxygen and low oxygen conditions. Adhesions will be assessed relative to clinical findings, such as hematology parameters, and evidence for vaso-occlusion, pain, inflammation, and vasculopathy in patients with sickle cell disease.endothelial and hematopoietic precursor cells based on membrane properties and adhesion., 2 years","Correlate SCD Biochip function in heterogeneous SCD populations, including HbSS and HbSC at a range of ages, and in those with acute and chronic complications and compared with normal controls., The investigators will examine and validate clinical correlations with these cellular/membrane properties in larger populations of SCD, across a range of phenotypes, using our simple rapid flexible SCD Biochip platform., 2 years",,University Hospitals Cleveland Medical Center,Case Western Reserve University,ALL,"CHILD, ADULT, OLDER_ADULT",,100,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2014-10,2028-05-31,2028-05-31,"University Hospitals Case Medical Center, Cleveland, Ohio, 44106, United States",
NCT02824406,Cerebrovascular Reserve Measurements in Sickle Cell Disease,https://clinicaltrials.gov/study/NCT02824406,UNKNOWN,"The primary aim of this study is to evaluate MRI-based cerebrovascular reserve (CVR) measurements in adult patients with Sickle Cell Disease (SCD).

The primary objective is to assess whether there is a correlation between CVR and silent cerebral infarcts (SCIs).",NO,Sickle Cell Disease,DRUG: Acetazolamide,"Cerebrovascular Reserve (CVR) from arterial spin labelling-MRI in patients compared to controls, Cerebral blood flow (CBF mL/100g/min) measurement before, during, and after, an intravenous administration of 16mg/kg acetazolamide. The percentage change in CBF will be used as a measure for CVR (%)., 20 minutes","Cerebral Metabolic Rate of Oxygen in patients and controls, Oxygen extraction fraction and cerebral blood flow are proportional to the cerebral metabolic rate of oxygen. Using the CBF from the primary outcome, and having measured the T2 of blood (which is dependent on oxygen), we can derive the oxygen extraction fraction, which allows us to calculate the cerebral metabolic rate of oxygen (CMRO2) and compare patients with controls., 2 minutes|Blood markers relating to anemia will be related to MRI findings, Hematocrit, hemoglobin, hemolysis, red blood cell count, mean corpuscular hemoglobin concentration., Through study completion, an average of 1 year|Velocity in the circle of willis assessed with 4D Flow MRI, Velocity (m/s) before and after acetazolamide challenge will be used to indicate cerebrovascular reserve and compared between patients and controls, 10 minutes|Silent Cerebral Infarct (SCI) on T2-weighted FLAIR MRI, Volume of SCIs will be assessed in relation to CVR, 10 minutes",,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),,ALL,"ADULT, OLDER_ADULT",,60,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2014-08,2017-06,2017-12,"Academic Medical Center, Amsterdam, Netherlands",
NCT03405402,Transfusion in Sickle Cell Disease: Risk Factors for Alloimmunization,https://clinicaltrials.gov/study/NCT03405402,COMPLETED,"Sickle cell patients have a high prevalence of alloimmunization. This high rate of alloimmunization can be partially explained by the existence of an antigenic difference between the predominantly Caucasian donor population and the sickle cell patients of African origin. Genetic and environmental risk factors have also been described.

The main risk factors that have been shown in retrospective or cross-sectional studies are some HLA alleles, the age of the patient, the number of leukocyte-depleted erythrocyte concentrates (CED) transfused, the number of transfusion episodes, the age of the CEDs, the existence of an inflammatory event at the time of transfusion and the presence of anti-erythrocyte autoantibodies.There is also evidence of an impaired TH response but the underlying immunological mechanism is not fully understood.

The aim of this study is to study the prevalence and the risk factors for anti-erythrocyte alloimmunization and to try to understand the immunological mechanisms.",NO,Sickle Cell Disease,PROCEDURE: Blood sampling,"Irregular antibodies, Presence/abscence of irregular antibodies, 1 hour before blood transfusion|Irregular antibodies, Presence/abscence of irregular antibodies, Between 2 to 4 weeks after blood transfusion|C-reactive protein (CRP), CRP dosage, 1 hour before blood transfusion|Cytokine, Cytokine dosage, 1 hour before blood transfusion|Cytokine, Cytokine dosage, Between 2 to 4 weeks after blood transfusion|Heme oxygenase, Heme oxygenase dosage, 1 hour before blood transfusion|Heme oxygenase, Heme oxygenase dosage, Between 2 to 4 weeks after blood transfusion|Lymphocyte typing, Lymphocyte typing, 1 hour before blood transfusion|Lymphocyte typing, Lymphocyte typing, Between 2 to 4 weeks after blood transfusion","Sex, Sex, 1 hour before blood transfusion|Chronic or acute blood transfusion, Blood transfusions planned at regular intervals of time (chronic transfusions) or performed in reaction to a medical issue (acute transfusion)., 1 hour before blood transfusion|Blood transfusion indication, Medical reason explaining the necessity of a blood transfusion, 1 hour before blood transfusion|Blood donor ethnicity, Blood donor ethnicity, 1 hour before blood transfusion",,Hanane EL KENZ,,ALL,"CHILD, ADULT, OLDER_ADULT",NA,173,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SCREENING,2018-02-13,2020-08-03,2020-08-03,"CHU Brugmann, Brussels, 1020, Belgium|HUDERF, Brussel, 1020, Belgium",
NCT05583721,Relationship Between Abnormal Myocardial Perfusion and Diastolic Dysfunction in Sickle Cell Disease Using PET,https://clinicaltrials.gov/study/NCT05583721,RECRUITING,"There is limited information on what causes injury to the heart in individuals with Sickle Cell Disease (SCD). Researchers in this study want to see if decreased blood flow to the heart during stress could be causing the heart damage seen in SCD patients. They also want to test people who don't have SCD to see if their hearts react the same way under stress.

Primary Objective

* To estimate the coronary flow reserve (CFR) (also referred to as myocardial perfusion reserve), as measured by PET stress-rest myocardial perfusion imaging, in SCD patients with and without diastolic dysfunction, and healthy controls.

Secondary Objectives

* To investigate the relationship between decreased CFR (quantified with PET stress- rest myocardial perfusion imaging) and presence of abnormal diastolic parameters",NO,Sickle Cell Disease,DRUG: [13N]NH3|DRUG: Lexiscan|DIAGNOSTIC_TEST: Positron emission tomography,"Mean and standard deviation of coronary flow reserve (CFR), We will estimate the mean and standard deviation of CFR, as measured by PET myocardial blood flow reserve imaging, in young adult SCD patients with and without diastolic dysfunction and healthy controls., Visit 2, approximately 4 weeks after study entry (procedure takes approximately one hour)|CFR difference among Stratum A, Stratum B, and Stratum C, We will compare whether the CFR is different among 3 predefined strata: Stratum A; SCD with diastolic dysfunction patients , Stratum B; SCD without dysfunction patient control, and Stratum C; normal healthy controls by one-way ANOVA or Kruskal-Wallis one-way analysis of variance, depending on the distribution of the data. If the difference exists, the pairwise comparison will be carried out by two sample t test or Wilcoxon rank sum test between two strata., Visit 2, approximately 4 weeks after study entry (procedure takes approximately one hour)","Relationship between decreased CFR (quantified with PET stress-rest myocardial perfusion imaging) and presence of abnormal diastolic parameters, The following is the grouping of diastolic parameters used in this study: Group 1: 0 or any 1 diastolic variable abnormal; Group 2: Any 2 variables abnormal; Group 3: Any 3 or more variables abnormal . We will first summarize the mean and standard deviation CFR values for each diastolic group. One-way ANOVA or Kruskal-Wallis one-way ANOVA will be used to explore whether there are any statistically significant differences between the means of these three groups. If a difference exists, the pairwise comparison will be carried out by two sample t test or Wilcoxon rank sum test between two groups., Visit 2, approximately 4 weeks after study entry (procedure takes approximately one hour)",,St. Jude Children's Research Hospital,,ALL,ADULT,PHASE2,40,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC,2023-10-10,2027-09,2028-09,"St. Jude Children's Research Hospital, Memphis, Tennessee, 38105, United States",
NCT06662825,Real World Patient Characteristics and Treatment Patterns From Crizanlizumab Use: Preliminary Analysis From Select Sickle Cell Centers,https://clinicaltrials.gov/study/NCT06662825,COMPLETED,This was a retrospective cohort study using secondary data from member sites of the National Alliance of Sickle Cell Centers (NASCC) with patients who had initiated crizanlizumab between 2019 and 2022.,NO,Sickle Cell Disease,,"Age at Index Date, Index date was defined as the date of the first crizanlizumab infusion, Day 1 of Year 2|Gender at Index Date, Index date was defined as the date of the first crizanlizumab infusion, Day 1 of Year 2|Race, Day 1 of Year 2|Ethnicity, Day 1 of Year 2|Insurance Type at Index Date, Index date was defined as the date of the first crizanlizumab infusion, Day 1 of Year 2|Number of Patients Categorized by Comorbidity, Baseline|Number of Patients who Received Long-acting Opioid Medication Before Starting Crizanlizumab, Baseline|Number of Patients who Received Chronic Red Blood Cell Transfusion Therapy Before Starting Crizanlizumab Categorized by Duration of Therapy, Red blood cell transfusion therapy time intervals:

* 0-3 months
* 3-6 months
* 6-12 months
* \>12 months
* Unknown, Baseline|Number of Patients who Received Chronic Red Blood Cell Transfusion Therapy After Starting Crizanlizumab Categorized by Duration of Therapy, Red blood cell transfusion therapy time intervals:

* 0-3 months
* 3-6 months
* 6-12 months
* \>12 months
* Unknown, Up to 1 year|Number of Patients by Type of Disease Modifying Therapy (DMT) Received Pre- and Post-index Date, Index date was defined as the date of the first crizanlizumab infusion.

DMTs included:

* Any SCD specific therapy
* Hydroxyurea
* Voxelotor
* L-Glutamine
* Other, Up to 2 years","Number of Doses Received by Patients Who Continued and Discontinued Crizanlizumab Treatment, 1 year|Number of SCD-related Hospitalizations and Emergency Department Visits Pre- and Post-index Date, Index date was defined as the date of the first crizanlizumab infusion., Up to 2 years|Length of Stay of SCD-related Hospitalization Visits Pre- and Post-index Date, Index date was defined as the date of the first crizanlizumab infusion., Up to 2 years",,Novartis,,ALL,"CHILD, ADULT, OLDER_ADULT",,376,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-12-13,2023-11-01,2023-11-01,"Novartis Pharmaceuticals, East Hanover, New Jersey, 07936, United States",
NCT05905770,Do Alemtuzumab Levels Predict T Cell Chimerism After MSD SCT for SCD?,https://clinicaltrials.gov/study/NCT05905770,RECRUITING,"Rationale: Non-myeloablative allogeneic stem cell transplantation (SCT) has become a feasible curative treatment option for sickle cell disease (SCD) patients with an available matched sibling donor. Chemotherapy free conditioning with alemtuzumab and 3 Gy total body irradiation (TBI) is increasingly being used as preferred conditioning scheme for these patients. This regimen typically results in mixed donor chimerism and has only few toxic effects. However, the risk of graft failure (rejection) is still significant, with an occurrence of 13% in the latest series. Levels of T cell chimerism are crucial for the success of this kind of transplantation. A donor T cell level of at least 50% at 1-year post-transplantation seems to be sufficient to allow the discontinuation of immunosuppressive medication without risk of graft rejection. Low levels of alemtuzumab prior to or shortly after SCT are thought to facilitate rejection of the donor graft. Recently, a positive correlation between alemtuzumab levels on day+14 was found with levels of T cell chimerism +2 and +4 months post-transplantation in adult SCD patients receiving matched sibling donor SCT. However, in this study alemtuzumab levels prior to the infusion of hematopoietic stem cells and beyond day +28 post-transplantation were not measured. Furthermore, the alemtuzumab levels were measured in 2 patient groups undergoing two different conditioning regimens.

Here, the investigators aim to thoroughly investigate the correlation of alemtuzumab levels and T cell chimerism. This will be the first study involving SCD patients receiving matched sibling donor SCT with alemtuzumab/TBI conditioning that includes alemtuzumab level measurements before the infusion of hematopoietic stem cells and beyond 1-month post-transplantation. Findings from this study will improve the insights into the etiology of graft failure in these patients and might ultimately lead to a more personalized approach in dosing alemtuzumab in order to achieve a more robust and stable engraftment of donor hematopoietic stem cells.

Objectives: To investigate whether serum alemtuzumab concentrations are predictive of the robustness of engraftment in SCD patients undergoing a matched sibling donor transplantation with alemtuzumab/TBI conditioning resulting in mixed chimerism.

Study design: Prospective observational laboratory study. Serum alemtuzumab concentration will be measured at various time points before and after stem cell infusion (days -3, 0, +7, +14, +28, +60).

Study population: Adult SCD patients that are planned for a matched sibling donor transplantation with alemtuzumab/TBI conditioning at the Amsterdam UMC.

Main study parameters/endpoints: The correlation between serum alemtuzumab concentration and levels of donor chimerism. Secondary endpoints: correlation between serum alemtuzumab levels and patients with and without successful engraftment. Correlation of serum alemtuzumab levels and the dosing of alemtuzumab in mg/kg, number of patient lymphocyte count and total number of infused enucleated donor-derived cells.",NO,Sickle Cell Disease,DRUG: Alemtuzumab Injection [Campath],"The correlation between serum alemtuzumab concentration and donor T cell chimerism., +1 year post-transplantation","o The differences in serum alemtuzumab concentration at the various time points (T1-T7) between patients with and without successful engraftment. Successful engraftment is defined as donor T cell chimerism >50% at 1-year post-transplantation., +1 year post-transplantation|o The correlation between the dosing of alemtuzumab in mg/kg, the number of patient lymphocytes and alemtuzumab levels at the various time points (T1-T7)., +1 year post-transplantation|o The correlation between total number of infused enucleated donor-derived cells and the amount of decrease of alemtuzumab levels before and after stem cell infusion (T2 and T3)., +1 year post-transplantation",,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Leiden University Medical Center,ALL,"CHILD, ADULT, OLDER_ADULT",,20,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-07-15,2024-11,2025-11,"Amsterdam Medical Centre, Amsterdam, 1105AZ, Netherlands",
NCT04839354,Sickle Cell Disease Treatment With Arginine Therapy (STArT) Trial,https://clinicaltrials.gov/study/NCT04839354,COMPLETED,The trial is designed to test intravenous (IV) arginine therapy in children with sickle cell disease (SCD) and vaso-occlusive painful episodes (VOE) to further knowledge on efficacy and safety of this orphan drug.,NO,Sickle Cell Disease,DRUG: L-Arginine Hydrochloride|OTHER: Normal saline,"Time-to-crisis Resolution, The time-to-crisis resolution is defined as the time in hours from the date and time of the first study drug delivery to time of the last dose of parenteral opioid delivery., From study drug delivery to last IV opioid treatment (up to 2 months)","Total Parenteral Opioid Use, Total parenteral opioid use is assessed as morphine equivalents in milligrams per kilogram (mg/kg)., From the time of IV placement throughout opioid treatment (up to 2 months)|Pain Score, Pain is assessed using a scale from 0 to 10, where 10 is the highest pain level. Daily highest and lowest pain scores are recorded., Time of presentation and on the day of discharge (up to 2 months)|Patient-Reported Outcome Measurement Information System (PROMIS) Pain Interference Score, The PROMIS Pain Interference instrument is an 8-item, self-administered survey that assesses the interference of pain on daily activities. Participants are asked to respond to questions regarding the extent of their pain. Responses range from 1 to 5, where 1 represents ""not at all"" and 5 represents ""very much"". Total raw scores are converted to T-scores. The T-score rescales the raw score into a standardized score with a mean of 50 and a standard deviation (SD) of 10. Scores below 50 indicate a lower amount of pain interference compared to the reference population, while scores higher than 50 indicate greater pain interference compared to the reference population., Within 12 hours of study drug delivery, and on the day of discharge (up to 2 months)|PROMIS Pain Behavior Score, The PROMIS Pain Behavior instrument is an 8-item, self-administered survey that assesses external manifestations of pain. Participants are asked to respond to questions regarding the extent of their pain. Responses range from 1 to 5, where 1 represents ""never"" and 5 represents ""always"". Total raw scores are converted to T-scores. The T-score rescales the raw score into a standardized score with a mean of 50 and a standard deviation (SD) of 10. Scores below 50 indicate a lower amount of pain behavior compared to the reference population, while scores higher than 50 indicate greater pain behavior compared to the reference population., Within 12 hours of study drug delivery, and on the day of discharge (up to 2 months)|PROMIS Fatigue Score, The PROMIS Fatigue instrument is an 8-item, self-administered survey that assesses fatigue level within the past seven days. Participants are asked to respond to questions regarding fatigue frequency. Responses range from 1 to 5, where 1 represents ""never"" and five represents ""always"". Total raw scores are converted to T-scores. The T-score rescales the raw score into a standardized score with a mean of 50 and a standard deviation (SD) of 10. Scores below 50 indicate a lower amount of fatigue compared to the reference population, while scores higher than 50 indicate greater fatigue compared to the reference population., Within 12 hours of study drug delivery and on the day of discharge (up to 2 months)","Medication Quantification Score (MQS), Medication Quantification Score (MQS) is a tool to objectively quantify pain. The MQS is a validated score calculated based off of daily doses of pain related medications (including acetaminophen, aspirin, NSAIDs, and antidepressants). The MQS is a single numeric value for a patient's pain medication profile. This number is used to track pain levels through a treatment course., Pre-dose and on day of discharge (up to 2 months)|Hospital Length of Stay, Hospital length of stay in days is recorded., Up to 6 months|Pediatric PROMIS Score, The Pediatric PROMIS assesses five domains of health with in a 35-item instrument. The survey is completed by patients ages 8-17 years of age and parents of children ages 5-17 years of age. The domains included are: pain behavior (8 items), pain interference (8 items), pain intensity (1 item), physical stress experiences (8 items), and fatigue (10 items). Total raw scores are converted to T-scores. The T-score rescales the raw score into a standardized score with a mean of 50 and a standard deviation (SD) of 10. Scores below 50 indicate a lower amount of the concept being measured compared to the reference population, while scores higher than 50 indicate a greater amount of the concept being measured (e.g., more fatigue) compared to the reference population., Within 12 hours of study drug delivery and on the day of discharge (up to 2 months)|PedsQL SCD Pain and Hurt Scale Score, The Pain and Hurt scale of the PedsQL SCD module has 9 items asking how much of a problem each item has been during the past month. Responses to items are given on a 5-point Likert scale where 0 = never a problem and 4 = almost always a problem. Items are reversed and transformed to a scale of 0 to 100 then the mean score for the scale is calculated. The total score for the Pain and Hurt scale ranges from 0 to 100 with higher scores indicating greater quality of life and lower SCD symptoms., Within 12 hours of study drug delivery and on the day of discharge (up to 2 months)|PedsQL SCD Pain Impact Scale Score, The Pain Impact scale of the PedsQL SCD module has 10 items asking how much of a problem each item has been during the past month. Responses to items are given on a 5-point Likert scale where 0 = never a problem and 4 = almost always a problem. Items are reversed and transformed to a scale of 0 to 100 then the mean score for the scale is calculated. The total score for the Pain Impact scale ranges from 0 to 100 with higher scores indicating greater quality of life and lower SCD symptoms., Within 12 hours of study drug delivery and on the day of discharge (up to 2 months)|Arginine Bioavailability, Peak plasma arginine concentration is assessed via pharmacokinetic study., Pre-Dose, Day 2, after 21 doses (Day 7 or 8) or at discharge (if discharged prior to Dose 21)|Mitochondrial Function, Mitochondrial respiratory complex activities are measured to estimate mitochondrial function., Pre-Dose, Day 2, after 21 doses (Day 7 or 8) or at discharge (if discharged prior to Dose 21)",Claudia R. Morris,"National Heart, Lung, and Blood Institute (NHLBI)",ALL,"CHILD, ADULT",PHASE3,271,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-06-21,2024-07-11,2024-07-11,"Children's Hospital Los Angeles, Los Angeles, California, 90027, United States|UCSF Benioff Children's Hospital, San Francisco, California, 94158, United States|Children's National Medical Center, Washington, District of Columbia, 20010, United States|Children's Healthcare of Atlanta at Hughes Spalding, Atlanta, Georgia, 03322, United States|Children's Healthcare of Atlanta at Egleston, Atlanta, Georgia, 30322, United States|Washington University/St. Louis Children's Hospital, Saint Louis, Missouri, 63110, United States|Nationwide Children's Hospital, Columbus, Ohio, 43205, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|Texas Children's Hospital/Baylor College of Medicine, Houston, Texas, 77030, United States|Medical College of Wisconsin/Wisconsin Children's Hospital, Wauwatosa, Wisconsin, 53226, United States","Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/54/NCT04839354/ICF_000.pdf"
